2006-06-03, 2006-07-15, 2
2007-01-29, 2007-03-12, 3
2007-01-29, 2007-03-12, 5
2007-08-04, 2007-09-15, 2
2007-09-08, 2007-10-20, 5
2007-09-15, 2007-10-27, 2
2008-07-12, 2008-08-23, 8
2008-11-08, 2008-12-20, 2
2009-05-23, 2009-07-04, 8
2010-11-02, 2010-12-14, 2
2010-12-01, 2011-01-12, 5
2011-03-26, 2011-05-07, 3
2011-06-18, 2011-07-30, 3
2011-07-27, 2011-09-07, 2
2011-10-10, 2011-11-21, 3
2012-05-09, 2012-06-20, 8
2012-11-01, 2012-12-13, 8
2013-01-01, 2013-02-12, 5
2013-06-17, 2013-07-29, 5
2013-07-22, 2013-09-02, 5
2013-08-31, 2013-10-12, 2
2013-10-04, 2013-11-15, 5
2014-04-07, 2014-05-19, 2
2014-05-22, 2014-07-03, 5
2014-06-18, 2014-07-30, 2
2014-11-10, 2014-12-22, 8
2015-04-18, 2015-05-30, 8
2015-07-15, 2015-08-26, 5
2015-08-15, 2015-09-26, 2
2016-05-07, 2016-06-18, 5
2016-06-12, 2016-07-24, 2
2016-10-12, 2016-11-23, 2
2017-07-16, 2017-08-27, 5
2017-09-30, 2017-11-11, 2
