2006-07-08, 2006-08-19, 8
2006-10-17, 2006-11-28, 8
2007-01-24, 2007-03-07, 2
2007-08-12, 2007-09-23, 2
2007-09-08, 2007-10-20, 2
2008-03-08, 2008-04-19, 5
2008-06-28, 2008-08-09, 3
2008-11-22, 2009-01-03, 8
2009-06-27, 2009-08-08, 5
2009-12-26, 2010-02-06, 5
2010-06-26, 2010-08-07, 3
2010-09-04, 2010-10-16, 2
2010-10-30, 2010-12-11, 2
2010-11-29, 2011-01-10, 5
2010-12-25, 2011-02-05, 5
2011-07-29, 2011-09-09, 3
2012-10-27, 2012-12-08, 8
2013-01-19, 2013-03-02, 2
2013-07-27, 2013-09-07, 5
2013-09-02, 2013-10-14, 5
2014-10-18, 2014-11-29, 8
2015-06-01, 2015-07-13, 2
2015-07-14, 2015-08-25, 2
2015-08-03, 2015-09-14, 5
2016-06-23, 2016-08-04, 3
2017-07-17, 2017-08-28, 2
2017-08-09, 2017-09-20, 5
