2006-02-11, 2006-03-25, 2
2006-05-27, 2006-07-08, 8
2006-09-27, 2006-11-08, 8
2007-06-23, 2007-08-04, 2
2007-07-31, 2007-09-11, 2
2007-09-10, 2007-10-22, 2
2008-06-07, 2008-07-19, 8
2008-09-06, 2008-10-18, 2
2008-12-22, 2009-02-02, 8
2009-06-09, 2009-07-21, 8
2009-09-12, 2009-10-24, 5
2009-09-16, 2009-10-28, 5
2010-06-26, 2010-08-07, 8
2010-08-26, 2010-10-07, 2
2010-11-30, 2011-01-11, 5
2010-12-24, 2011-02-04, 5
2011-07-27, 2011-09-07, 3
2012-06-22, 2012-08-03, 2
2013-01-10, 2013-02-21, 5
2013-07-03, 2013-08-14, 2
2013-07-26, 2013-09-06, 2
2013-08-28, 2013-10-09, 5
2013-10-04, 2013-11-15, 5
2014-04-02, 2014-05-14, 2
2014-06-02, 2014-07-14, 5
2015-07-11, 2015-08-22, 2
2015-08-03, 2015-09-14, 2
2016-10-31, 2016-12-12, 8
2017-02-19, 2017-04-02, 8
2017-07-22, 2017-09-02, 5
2017-09-30, 2017-11-11, 2
